Sr No,Date,Startups,Industry Vertical,SubVertical,City,Investors,Investment Type,Amount
244,,Elucidata,IT,Data Analytics (SaaS),Delhi & Cambridge,Hyperplane Venture Capital and several angel investors,Seed/ Angel Funding,16.286
246,,RentSher,Consumer Internet,Online Rental Marketplace,Bengaluru,"Shorooq Investments, LetsVenture & Others",Seed/ Angel Funding,10.538
247,,Drip capital,Finance,Trade Finance Firm,Mumbai,"Accel Partners, Sequoia India, Y Combinator and others.",Private Equity,143.7
248,,WickedRide,Consumer Internet,Online Motorbike And Scooter Rental Platforms,Bengaluru,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",Private Equity,87.178
249,,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,1916.0
250,,HipBar,Consumer Internet,Digital Payment Platform For Beverage Delivery,Bengaluru,Diageo India,Private Equity,38.32
251,,Sqqrl,Finance,App-based investment platform,Gurugram,Equanimity Venture Fund,Seed/ Angel Funding,9.58
252,,Paytm,Technology,Digital Payment Platform,Noida,One 97 Communications,Private Equity,85.741
253,,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,182.02
254,,Wow Express,Technology,E-commerce Logistics Platform,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,43.11
255,,Front Desk AI,Technology,An AI Platform Offering Automated Customer Service Software,Bengaluru,Speciale Invest & Others,Seed/ Angel Funding,10.538
256,,Edureka,Ed-Tech,Online Education Platform,Bengaluru,Leo Capital,Seed/ Angel Funding,19.16
258,2018-02-05,OpenTap,Finance,Online Lending Platform,Chennai,Unknown High Net-Worth Individuals,Seed / Angel Funding,4.311
259,2018-02-05,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,210.76
260,2018-03-05,Disprz,IT,SaaS,Chennai,"IL&FS Private Equity, Kae Capital & Others",Seed / Angel Funding,23.95
262,2018-09-05,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed / Angel Funding,9.58
263,2018-11-05,Earth Food,Consumer Internet,Agri-tech,Pune,Rairah Corporation,Seed / Angel Funding,9.09142
264,,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,229.92
265,,mfine,Healthcare,Doctor-Consultation App,Bengaluru,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity,40.236
266,,Rocketium,Technology,Online Video Creation Platform,Bengaluru,Blume ventures,Seed/ Angel Funding,2.874
267,,MilkBasket,Technology,Micro-Delivery Grocery Startup,Gurugram,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,67.06
268,,Vola,Finance,Micro Lending Platform,Bengaluru,Credika and unnamed angel investors,Seed/ Angel Funding,4.79
269,,Cashkumar,Consumer Internet,P2P Lending Platform,Bengaluru,LetsVenture,Seed/ Angel Funding,7.0413
270,,Edyoo,E-Commerce,Products For Shoolgoing Children,Bengaluru,RS Shanbag,Seed/ Angel Funding,7.0413
271,,Aashiyaan,Finance,Housing Finance For Low-Income Families,Kolkata,"Insistor, Oikocredit",Seed/ Angel Funding,19.16
272,,Smartivity,Ed-tech,Designer Of Toys and Learning Projects For Kids,Delhi,"Ashish Kacholi, S Chand Group",Seed/ Angel Funding,19.16
273,,Bonphulapl,Clean-tech,Oxygen Optimiser Manufacturer,Delhi,Atul Gupta and Saurabh Rastogi,Seed/ Angel Funding,2.80694
274,,Acko,Consumer Internet,Online Insurance Platform,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Seed/ Angel Funding,114.96
275,,HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",Seed/ Angel Funding,1.916
276,,Toffee,Consumer Internet,Online Insurance Platform,Gurugram,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Seed/ Angel Funding,14.37
277,,Tonetag,Technology,Mobile Payments Technology Platform,Bengaluru,Amazon Inc. and Mastercard,Private Equity,76.64
279,,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",Private Equity,134.12
280,,Credright,Consumer Internet,Lending Platform For SMEs,Hyderabad,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",Seed/ Angel Funding,12.454
281,2018-02-04,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,19.16
282,2018-02-04,Synctag,Technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed / Angel Funding,2.946808
285,2018-04-04,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bengaluru,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,526.9
286,2018-05-04,IndigoLearn,Ed-Tech,Online Education Platform,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed / Angel Funding,1.437
287,2018-05-04,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bangalore,"Accel Partners, Tiger Global And Others",Private Equity,95.8
288,2018-09-04,Kaleidofin,Fiinance,Digital Financial Services Platform,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed / Angel Funding,26.824
289,2018-09-04,Pipabella,Consumer Internet,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Seed / Angel Funding,9.58
293,2018-10-04,TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,114.96
294,2018-12-04,Letsmd,Healthcare,Platform To Discover Healthcare Financing Options,Delhi,"SRI Capital, Waterbridge Ventures and ThinKuvate",Seed / Angel Funding,9.58
295,2018-12-04,AyeFinance,Finance,Online Lending Platform,Gurugram,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",Debt Funding,44.068
296,,mintifi,Finance,Online Lending Platform,Mumbai,Lok Capital,Seed / Angel Funding,19.16
297,,icanstay,Consumer Internet,Online Platform For Luxury Hotel Stay For Business Travelers,Delhi,Mr. Manoj Prasad,Seed / Angel Funding,4.79
299,,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,"International Finance Corporation, Transamerica and others.",Private Equity,210.76
302,,Fyle Technologies,Technology,AI Based Expense Management Platform,Bengaluru,Pravega Ventures and Beenext,Seed / Angel Funding,10.538
303,,True Balance,Technology,Mobile Balance Checking App,Gurugram,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank and TS Investment",Private Equity,220.34
305,,Doxper,Healthcare,Digitized Health-Tech Solutions For Practitioners,Mumbai,Vidal Healthcare,Seed / Angel Funding,18.202
306,,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,105.38
308,,Capital Float,Finance,Online Lending Platform,Bengaluru,Amazon,Private Equity,210.76
309,,Trip shelf,Consumer Internet,Online Travel Marketplace,Delhi,"GEMS Advisory, Alok Mittal and Sachin Bhatia",Seed / Angel Funding,2.35668
310,,POPxo,Technology,Women Focussed Digital Media Platform,Delhi,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media",Private Equity,52.69
312,,1mg,Consumer Internet,Online Pharmacy Store,Gurugram,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd",Private Equity,95.8
314,,Samco,Consumer Internet,Online Stock Broker,Mumbai,Bay Capital Investments and Others,Private Equity,71.85
315,,MyLoanCare,Finance,B2C Online Loans Marketplace,Gurgaon,SAR Group,Seed / Angel Funding,9.36924
317,2018-01-03,Buddy4studdy,Consumer Internet,Online Scholarship Portal,Noida,CBA Capital and others,Private Equity,28.74
318,2018-01-03,Urban Ladder,E-Commerce,Online Furniture Store,Bengaluru,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,114.96
319,2018-03-03,Kuvera,Consumer Internet,Online Financial Planning,Bengaluru,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed / Angel Funding,2.395
320,2018-04-03,Gramophone,Technology,Agri-tech,Indore,InfoEdge,Seed/Angel Funding,9.58
321,2018-05-03,Wellthy,Healthcare,Therapeutics,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,20.118
322,2018-05-03,MedGenome,Healthcare,"Genetic Screening, DNA Diagnostics Labs & Research Centers",Bengaluru,"HDFC Life, HDFC Asset Management",Private Equity,95.8
323,2018-05-03,Finova Capital,Consumer Internet,Online Lending,Jaipur,Sequoia Capital,Private Equity,57.48
324,2018-05-03,Hotelogix,Technology,Cloud based Online Hotel Management Software,Noida,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,47.9
325,2018-04-03,Livehealth,Consumer Internet,Health Service Aggregator Platform,Pune,Nexus Venture Partners,Seed / Angel Funding,10.538
326,2018-06-03,Ad2pro,Technology,"Creative Design, Brand, Media and Technology Platform Solutions",Chennai,Avendus Finance Pvt. Ltd,Debt Funding,92.926
327,2018-06-03,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon NV,Private Equity,72.808
328,2018-08-03,Pepperfry,Consumer Internet,Online Furniture Shopping Store,Mumbai,State Street Global Advisors,Private Equity,367.872
329,2018-08-03,Magicpin,Consumer Internet,Hyperlocal Discovery,Gurugram,Trifecta Capital,Debt Funding,9.58
330,2018-12-03,HealthCare,Consumer Internet,Healthcare Aggregator,Mumbai,HR Fund,Seed / Angel Funding,9.58
331,,PineLabs,Technology,Digital Payment Platform,Mumbai,"Actis, Altimeter Capital",Private Equity,785.56
333,,AvailFinance,Consumer Internet,Online Lending Platform,Bengaluru,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel.",Private Equity,164.776
334,,Grofers,Consumer Internet,Online Grocery Shop,Gurugram,"SoftBank, Tiger Global and Apoletto Managers.",Private Equity,593.96
335,,Fingerlix,Consumer Internet,Ready To cook Food Solution,Mumbai,Alteria Capital,Debt Funding,12.5498
336,,Karma Healthcare,Healthcare,Technology enabled equitable healthcare for India,Udaipur,"1Crowd, Ankur Capital",Seed / Angel Funding,4.79
337,,Zappfresh,Food & Beverages,Online Raw Meat E-tailer,Gurugram,"Amit Burman, SIDBI Venture Capital",Seed / Angel Funding,28.74
338,,CustomerSucessBox,Technology,Customer Success Software for B2B SaaS,Gurugram,"Pi Ventures, Axilor Ventures",Seed / Angel Funding,9.58
341,,Chargebee,Technology,Subscription Billing & Recurring Payments Software,Chennai,"Insight Venture Partners, Accel Partners and Tiger Global Management.",Private Equity,172.44
342,,i2i Funding,Consumer Internet,Online loan platform,Noida,SucSEED Venture Partners,Seed / Angel Funding,7.35744
343,,Slang Labs,Technology,Voice-based assistant platform,Bengaluru,Endiya Partners,Seed / Angel Funding,11.8792
345,,Cash Suvidha,Consumer Internet,Online loan platform,Delhi,"Initia Holdings,Vipin Agarwal and others.",Seed / Angel Funding,9.58
347,,Smartcoin,Finance,Micro lending company,Bengaluru,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Seed / Angel Funding,19.16
348,,The Print,Media,News portal,Delhi,Ratan Tata,Seed / Angel Funding,5.1253
349,,DriveU,Technology,Professional Car Drivers Hiring App,Bengaluru,Amit Singhal and Unitus Seed Fund,Private Equity,28.74
351,2018-01-02,BigBasket,Consumer Internet,Online Grocery & Food Store,Bengaluru,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,2874.0
352,2018-01-02,Zomato,Food and Beverages,Food Ordering and Restaurant Discovery,Gurugram,Ant Financials,Private Equity,1916.0
353,2018-05-02,Pratilipi,Publishing,E-Publishing,Bengaluru,Omidyar Network,Private Equity,41.194
354,2018-05-02,Asia Institute Of Medical Science,Healthcare,Super-specialty Hospital,Faridabad,CDC Group Plc,Private Equity,201.18
355,2018-05-02,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurugram,"Man Capital LLP, Girnar Software, Others",Private Equity,19.16
357,2018-06-02,Healthi,Healthcare,Preventive Health Checkup,Bengaluru,Montane Ventures,Private Equity,29.698
358,2018-07-02,Swiggy,Food and Beverages,Online Food Delivery,Bengaluru,Naspers,Private Equity,958.0
359,2018-08-02,Shape,Healthcare,"Online Portal for Diet,fitness and Beauty",Pune,Sandeep Mathur,Seed / Angle Funding,958.0
360,2018-08-02,Icertis,Consumer Internet,Enterprise Contract Management Platform,Pune,Meritech Capital Partners,Private Equity,479.0
361,2018-09-02,healthifyme,Healthcare,Mobile Weight Loss Coach,Bengaluru,Sistema Asia Fund,Private Equity,114.96
363,2018-09-02,Rupeek,Consumer Internet,Online Gold Loan,Bengaluru,"Accel Partners, Sequoia Capital",Private Equity,65.4314
365,2018-12-02,Lendingkart,Finance,Online Lending Platform,Bengaluru,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,833.46
367,2018-12-02,Cashify,E-Commerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,8.95815262
368,,holachef,Food and Beverages,Online Food Delivery,Mumbai,Ashok Kumar Gajera,Seed / Angle Funding,2.981296
370,,IMAX Program,Ed-Tech,Individualised Progressive Learning Program,Bengaluru,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,129.33
371,,Littlemore,Ed-Tech,Online Education Platform,Chennai,Kalpavriksh,Private Equity,28.74
372,,Toppr,Ed-Tech,Online Education Platform,Mumbai,Axis Capital Partners,Private Equity,0.958
373,,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,4.79
374,,MoneyOnMobile,Technology,mobile payment platform,Mumbai,S7 Group,Private Equity,47.9
375,,PetSutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey,Seed / Angel Funding,1.42199772
376,,Infibeam,E-Commerce,Online Retailing,Ahemadabad,Network 18,Private Equity,59.6834
377,,happay,Finance,Expense Management,Bengaluru,Sequoia and Jerry Yang,Seed / Angel Funding,2.395
378,,Fincash,Finance,Fin-Tech,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed / Angel Funding,1.437
379,,AyeFinance,Finance,Online Lending,Gurugram,"Hinduja Leyland Finance, IntelleGrow",Private Equity,36.404
380,,Agricxlab,Agriculture,Agri-tech,Mumbai,Ankur Capital,Seed / Angel Funding,4.79
381,,Udaan,E-Commerce,B2B Marketplace,Bengaluru,Lightspeed & Yuri Milner,Private Equity,479.0
382,,Capillary,IT,SaaS,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,191.6
383,,The Healthy Billions,Healthcare,Analytics,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,20.118
385,,Avishkaar Box,Ed-Tech,Education,Delhi,Auxano Deals,Private Equity,7.40055
386,,Planys Technologies,Technology,Robotic InspectionStartup,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,9.9632
388,,Trilyo,Technology,AI platform for hospitality industry,Mumbai,"Startup Buddy,Amit Manocha and others",Seed / Angel Funding,2.395
389,,Gaana,Technology,Online Music Streaming,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,1101.7
390,,Credy,IT,SaaS,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed / Angel Funding,13.412
393,2018-04-01,EarlySalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private,150.406
396,2018-09-01,Lendingkart,Finance,Online Lending,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,45.026
398,2018-10-01,Tapzo,Technology,Personal Assistant,Bengaluru,RuNet & Other,Private Equity,18.4894
399,2018-10-01,Appario Retail Pvt Ltd.,E-commerce,Retail,Delhi,Amazon-Patni JV,Private Equity,180.4872
400,2018-10-01,Samunnati,Finance,Agricultural Loan,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,225.13
401,2018-10-01,Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,347.0834
402,2018-12-01,Kuants,Technology,Algorithmic Trading,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,0.7664
403,2018-12-01,Razorpay,Technology,Payment Gateway,Bengaluru,"Tiger Global, Y Combinator",Private Equity,191.6
404,,Streak,Technology,Algorithmic Trading,Bengaluru,"Indian fintech fund, Rainmatter",Angel / Seed Funding,3.397068
405,,pi Ventures,Finance,Venture Capital,Bengaluru,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",Private Equity,239.5
406,,Newgen Software,Technology,IT,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,191.6
407,,Rubix,Technology,Education,Pune,Polaris Fund,Private Equity,9.58
408,,ShareChat,Technology,Social,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,174.356
409,,Paperflite,Technology,IT,Chennai,The Chennai Angels,Angel / Seed Funding,3.832
410,,HungerBox,Consumer Internet,Food and Beverages,Bangalore,Lionrock Capital,Private Equity,23.95
412,,OptaCredit,Finance,Alternative Lending,Chennai,DMI Finance,Private Equity,38.32
413,,AEON Learning,Technology,Education,Bengaluru,Dr. Ranjan Pai,Private Equity,30.656
414,,Milkbasket,E-commerce,Online Grocery,Gurugram,Unilever Ventures,Private Equity,28.74
415,,NeoGrowth Credit,Finance,Digital Lending,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,450.26
416,,Rao IIT Academy,Education,Coaching Services,Mumbai,Avendus Finance,Structured Debt,82.388
417,,Aye Finance,Finance,Online Lending,Gurugram,IFMR Capital,Term Loan,59.7792
419,,GreyAtom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,9.58
420,,Axio,Healthcare,Hemostatic Dressing Solutions,Bengaluru,RNT Capital,Private Equity,70.892
421,,eKincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,14.37
